control,treat
ChA24,ChA96
ChA24,ChLA24
ChA96,ChLA96
ChACi24,ChACi96
ChACi24,ChLACi24
ChACi96,ChLACi96
ChC24,ChA24
ChC24,ChACi24
ChC24,ChC96
ChC24,ChCi24
ChC24,ChLC24
ChC96,ChA96
ChC96,ChACi96
ChC96,ChCi96
ChC96,ChLC96
ChCi24,ChCi96
ChCi24,ChLCi24
ChCi96,ChLCi96
ChLA24,ChLA96
ChLACi24,ChLACi96
ChLC24,ChLA24
ChLC24,ChLACi24
ChLC24,ChLC96
ChLC24,ChLCi24
ChLC96,ChLA96
ChLC96,ChLACi96
ChLC96,ChLCi96
ChLCi24,ChLCi96
LA24,LA96
LA24,LChA24
LA96,LChA96
LACI24,LChACi24
LACI96,LChACi96
LACi24,LACi96
LACi24,LChACi24
LC24,LA24
LC24,LACI24
LC24,LACi24
LC24,LC96
LC24,LChC24
LC24,LCi24
LC96,LA96
LC96,LACI96
LC96,LChC96
LC96,LCi96
LChA24,LChA96
LChACi24,LChACi96
LChC24,LChA24
LChC24,LChACi24
LChC24,LChC96
LChC24,LChCi24
LChC96,LChA96
LChC96,LChACi96
LChC96,LChCi96
LChCi24,LChCi96
LCi24,LChCi24
LCi24,LCi96
LCi96,LChCi96
